,Product Title,Price,Image,Product URL,Site
38,Baseus Cable Supervooc 65W Superior Series Fast Charging Data Cable - Black,Tk 525,https://media.e-valy.com/cms/products/images/70938c77-2e89-49da-9c89-bb845e4f14df?h=250&w=250,https://evaly.com.bd/products/baseus-cable-supervooc-65w-superior-series-fast-charging-data-cable-black-1624053,Evaly
39,Baseus CAGD030001 100W Type-C to Type-C Jelly Liquid Silica Gel Fast Charging Data Cable (1.2M/3.9 Feet),Tk 550,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_cagd030001_100w_type-c_to_type-c_fast_charging_data_cable.jpg,https://www.bdshop.com/baseus-cagd030001-100w-type-c-to-type-c-cable,BD Shop
40,Lenovo HE06 Wireless Neckband Earphone - Black,Tk 556,https://media.e-valy.com/cms/products/images/713a8d23-d3ff-43a6-9496-29a6ce37c691?h=250&w=250,https://evaly.com.bd/products/lenovo-he06-wireless-neckband-earphone-black-9144206,Evaly
41,Wireless With LED Screen Digital Display Touch Control Sports Gaming Earphone M36 - Black,Tk 567,https://media.e-valy.com/cms/products/images/7d5a45f2-07f2-4887-9c23-04a18e97c09c?h=250&w=250,https://evaly.com.bd/products/wireless-with-led-screen-digital-display-touch-control-sports-gaming-earphone-m36-black-4631459,Evaly
42,Baseus C17 Wired Headset Type-C Earphones - White,Tk 567,https://media.e-valy.com/cms/products/images/83f13006-b687-474c-83b4-e83c4aa0278d?h=250&w=250,https://evaly.com.bd/products/baseus-c17-wired-headset-type-c-earphones-white-9945053,Evaly
43,Baseus Quick Charge 3.0 USB Charger - White,Tk 587,https://media.e-valy.com/cms/products/images/9e38ab39-f146-439d-865f-a72c4a02e2a9?h=250&w=250,https://evaly.com.bd/products/baseus-24w-quick-charge-3.0-usb-charger-white-6753279,Evaly
44,Baseus Crystal Shine Series 2.4A Fast Charging USB to IP Data Cable (2m/6.6feet),Tk 590,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_crystal_shine_series_usb_to_ip_data_cable.jpg,https://www.bdshop.com/baseus-crystal-shine-usb-to-ip-data-cable-2m,BD Shop
45,"Baseus CATGH-J01 1M Halo USB Type C 60W Cable (20V, LED, 3A)",Tk 590,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_catgh-j01_1m_halo_usb_type_c_60w.jpg,https://www.bdshop.com/baseus-catgh-j01-1m-60w-cable,BD Shop
46,"Baseus CALD000402 Dynamic Series 20W Type-C to Lightning Fast Charging Data Cable (480Mbps, 2.4A, 1m/3.3feet)",Tk 590,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_cald000402_dynamic_series_20w_1m.jpg,https://www.bdshop.com/baseus-cald000402-type-c-to-lightning-cable-1m,BD Shop
47,Baseus CAJY000601 Crystal Shine Series 100W 2.4A Fast Charging USB Type-C to Type-C Cable (1.2m/3.9feet),Tk 590,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_cajy000401_crystal_shine_series_1.jpg,https://www.bdshop.com/baseus-cajy000601-100w-type-c-to-type-c-cable,BD Shop
48,Baseus CAJY000401 Crystal Shine Series 2.4A Fast Charging USB to Type-C Cable (1.2m/3.9feet),Tk 590,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_cajy000401.jpg,https://www.bdshop.com/baseus-cajy000401-crystal-shine-series-usb-to-type-c-cable,BD Shop
49,EDIFIER H185 Earphone,Tk 599,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20220609_1654747526_636272.png,https://gadgetandgear.com/product/edifierh185-earphone,GadgetandGear
50,M32 Sports Bluetooth Earphone - Black,Tk 618,https://media.e-valy.com/cms/products/images/e99ac23a-8e86-46ca-ad0a-71539e61f47c?h=250&w=250,https://evaly.com.bd/products/m32-blutooth-neck-sports-bluetooth-headphones-6697558,Evaly
51,TRN MT1 Dual Magnetic Dynamic Driver Earphone - Black,Tk 621,https://media.e-valy.com/cms/products/images/8b45c75d-16ad-417d-ba22-242b1f671f44?h=250&w=250,https://evaly.com.bd/products/trn-mt1-dual-magnetic-dynamic-driver-earphone-black-745498,Evaly
52,Baseus Multifunctional Cleaning Brush - Multi Color,Tk 630,https://media.e-valy.com/cms/products/images/4b210a3f-ca82-476a-8ad3-9585800edc64?h=250&w=250,https://evaly.com.bd/products/baseus-multifunctional-cleaning-brush-multi-color-6569875,Evaly
53,Baseus Encok C17 Type-C In-Ear Wired Earphone - White,Tk 640,https://media.e-valy.com/cms/products/images/4fcf725d-142e-4213-a854-4aa498da1a86?h=250&w=250,https://evaly.com.bd/products/baseus-encok-c17-type-c-in-ear-wired-headset-white-9851601,Evaly
54,Baseus CALWJ-A01 Tungsten Gold Fast Charging Data Cable USB to iP (2.4A 2m/ 6.6 feet) ,Tk 650,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_calwj-a01_tungsten_gold_fast_charging_data_cable.jpg,https://www.bdshop.com/baseus-calwj-a01-tungsten-gold-cable,BD Shop
55,Edifier H185P In-Ear Earphone - Black,Tk 650,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/e/d/edifier-h185p-in-ear-earphone-black-in-bd-at-bdshopcom.png,https://www.bdshop.com/edifier-h185p-in-ear-earphone-black,BD Shop
56,"Baseus CAJY000201 Crystal Shine Series 20W Fast Charging Type-C to Lightning Data Cable (480 Mbps, 1.2m/3.9feet)",Tk 650,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_cajy000201_type-c_to_lightning_data_cable.jpg,https://www.bdshop.com/baseus-cajy000201-20w-type-c-to-lightning-cable,BD Shop
57,"Baseus CATLJK-01 Cafule Series Metal Data Cable Type-C to IP PD (20W, 25cm)",Tk 690,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_catljk-01_data_cable_type-c_to_ip_pd.jpg,https://www.bdshop.com/baseus-catljk-01-cable-type-c-to-ip-pd-20w,BD Shop
58,"Baseus CALD000402 Dynamic Series 20W Type-C to Lightning Fast Charging Data Cable (480Mbps, 2.4A, 2m/6.6feet)",Tk 720,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_cald000402_1.jpg,https://www.bdshop.com/baseus-cald000402-20w-type-c-to-lightning-cable,BD Shop
59,UiiSii N13 Neck Mounted Bluetooth Earphone - Black,Tk 762,https://media.e-valy.com/cms/products/images/9b1e74d3-bcc7-4096-b936-c34cce959e16?h=250&w=250,https://evaly.com.bd/products/uiisii-n13-neck-mounted-bluetooth-earphone-black-3038426,Evaly
60,Plextone G25 Gaming Earphone - Black and Light Green,Tk 764,https://media.e-valy.com/cms/products/images/6c20ae0f-1350-4d58-ad17-ff6a1f411b2f?h=250&w=250,https://evaly.com.bd/products/plextone-g25-gaming-earphone-black-and-light-green-91214,Evaly
61,Baseus 2 in 1 Type C to PD+3.5mm Jack Charging Audio Cable - Black,Tk 773,https://media.e-valy.com/cms/products/images/d5c82233-3b7c-4931-9312-1c0913f4a04a?h=250&w=250,https://evaly.com.bd/products/baseus-2-in-1-type-c-to-pd+3.5mm-jack-charging-audio-cable-black-8475485,Evaly
62,Wavefun Flex U Dual Dynamic Speaker Wireless Neckband Earphone - Black,Tk 773,https://media.e-valy.com/cms/products/images/2a71e49e-bdbb-4de0-829d-9df391d3f62f?h=250&w=250,https://evaly.com.bd/products/wavefun-flex-u-dual-dynamic-speaker-wireless-neckband-earphone-black-5087535,Evaly
63,Remax RX -S110 Pressure Free Bluetooth Neckband - Black,Tk 773,https://media.e-valy.com/cms/products/images/4f96414f-e184-4ea7-9a4c-8c771e13d73d?h=250&w=250,https://evaly.com.bd/products/remax-rx-s110-pressure-free-bluetooth-neckband-black-7282246,Evaly
64,Baseus Cahub-Ay01 Square Round 4 In 1 Usb Hub Adapter - Black,Tk 776,https://media.e-valy.com/cms/products/images/95183f0b-2f84-4769-a06b-4e1603ad1580?h=250&w=250,https://evaly.com.bd/products/baseus-cahub-ay01-square-round-4-in-1-usb-hub-adapter-black-82086,Evaly
65,Baseus Compact 3USB Charger - 17W - Black,Tk 776,https://media.e-valy.com/cms/products/images/8c47f3f3-1434-4ea9-9748-fc1f023fdcf0?h=250&w=250,https://evaly.com.bd/products/baseus-17w-3-usb-output-charger-black-3641407,Evaly
66,Baseus Display Fast Charging Data Cable Type-C To Type-C 100W 1M - Black,Tk 787,https://media.e-valy.com/cms/products/images/78c0312b-df39-4531-bfc0-e3d23d599864?h=250&w=250,https://evaly.com.bd/products/baseus-display-fast-charging-data-cable-type-c-to-type-c-100w-1m-black-811788,Evaly
